pIndex	Problem	Equation	Relevant Indices	Number of Operators
833	श्रीमती गुप्ता और उनकी बहन 78 मील दूर 1 संगीत के कार्यक्रम में कार से गईं। उन्होंने 32 मील की दूरी तय की और फिर वे पेट्रोल भरवाने के लिए रुक गए। उनकी बहन ने गाड़ी में 28 लीटर पेट्रोल डाला। उन्हें और कितने मील की दूरी तय करनी है?	X = ( 78 - 32 )	[0, 2]	1
834	जब मरीला अस्पताल में भर्ती थी तब उसे कुल 403 शुभकामना कार्ड्स में से 287 दोस्तों और परिवारवालों से मिले। देश भर से मरीला को कितने शुभकामना कार्ड मिले?	X = ( 403 - 287 )	[0, 1]	1
836	चूंकि कार्तिक के परिवार को पिज्जा पसंद है, इसलिए उन्होंने कुछ खरीदे। उसकी बहन ने पिज्जा के 48 स्लाइस खरीदे और उसके भाई ने 48 भी खरीदे। पिज्जा के कितने स्लाइस पड़ोसियों के लिए बचे हैं अगर परिवारवाले पहले से ही 27 स्लाइस खा चुके हैं?	X = ( ( 48 + 48 ) - 27 )	[0, 1, 2]	2
837	सतनाम के पास ₹ 8765 थे । उसके मामा जी ने उसे ₹ 2500 और दे दिये फिर सतनाम ने अपने कुल रुपये में से अपनी बहन को ₹ 4770 दे दिये । अब उसके पास कुल कितने रुपये बाकी बचे ?	X = ( ( 8765 + 2500 ) - 4770 )	[0, 1, 2]	2
839	मेले में हेली दिन में छह और रात में 3 सवारियों पर गई। हेली कुल कितनी सवारियों पर गई?	X = ( 6 + 3 )	['implicit', 0]	1
841	स्कूल के लिए ऑस्कर की बस की यात्रा 0.75 मील है और चार्ली की 0.25 मील है। चार्ली की तुलना में ऑस्कर को कितनी ज़्यादा दूर बस की यात्रा करनी पड़ती है?	X = ( 0.75 - 0.25 )	[0, 1]	1
843	गुरप्रीत शनिवार को मॉल में कपड़े खरीदने गई थी। उसने पैंट पर 9.24 रुपये का भुगतान किया लेकिन उसकी जेब में छेद होने की वजह से उसे 8.25 रुपये वापस मिले। यदि उसने ₹20 का नोट दिया, तो गुरप्रीत को कुल कितने पैसे वापस मिले?	X = ( ( 20 + 8.25 ) - 9.24 )	[2, 1, 0]	2
844	सेजल की माँ 101 हॉटडॉग लाईं। कुछ घंटों बाद, डायलन की माँ 379 हॉटडॉग लाईं। उनके पास कितने हॉटडॉग हैं?	X = ( 101 + 379 )	[0, 1]	1
845	1 मेले में देमा ने 48 शॉल बेचे। अगले दिन उसने 17 शॉल और बेचे। कुल मिलाकर उसने कितने शॉल बेचे?	X = ( 48 + 17 )	[1, 2]	1
847	पामेला ने 9.8 किलो चीनी खरीदी और उसने 5.2 किलो ज़मीन पर बिखेर दी। अब कितनी चीनी बची?	X = ( 9.8 - 5.2 )	[0, 1]	1
848	शुरूआत में कार्तिक के पास 7 कार्ड थे। उसे 47 और मिले। कार्तिक के पास कितने कार्ड हैं?	X = ( 7 + 47 )	[0, 1]	1
